discipline,gold,silver,bronze,total,athlete_name
Alpine Skiing,2,1,0,3,STROLZ Johannes
Alpine Skiing,1,1,0,2,LIENSBERGER Katharina
Alpine Skiing,1,0,1,2,GISIN Michelle
Alpine Skiing,1,0,1,2,GUT-BEHRAMI Lara
Alpine Skiing,1,0,1,2,MAYER Matthias
Alpine Skiing,1,0,0,1,BRENNSTEINER Stefan
Alpine Skiing,1,0,0,1,FEUZ Beat
Alpine Skiing,1,0,0,1,HECTOR Sara
Alpine Skiing,1,0,0,1,HUBER Katharina
Alpine Skiing,1,0,0,1,MATT Michael
Alpine Skiing,1,0,0,1,NOEL Clement
Alpine Skiing,1,0,0,1,ODERMATT Marco
Alpine Skiing,1,0,0,1,SUTER Corinne
Alpine Skiing,1,0,0,1,TRUPPE Katharina
Alpine Skiing,1,0,0,1,VLHOVA Petra
Alpine Skiing,0,1,1,2,BRIGNONE Federica
Alpine Skiing,0,1,1,2,HOLDENER Wendy
Alpine Skiing,0,1,1,2,KILDE Aleksander Aamodt
Alpine Skiing,0,1,0,1,AICHER Emma
Alpine Skiing,0,1,0,1,CLAREY Johan
Alpine Skiing,0,1,0,1,COCHRAN-SIEGLE Ryan
Alpine Skiing,0,1,0,1,DUERR Lena
Alpine Skiing,0,1,0,1,GOGGIA Sofia
Alpine Skiing,0,1,0,1,KRANJEC Zan
Alpine Skiing,0,1,0,1,PUCHNER Mirjam
Alpine Skiing,0,1,0,1,RAUCHFUSS Julian
Alpine Skiing,0,1,0,1,SCHMID Alexander
Alpine Skiing,0,1,0,1,STRASSER Linus
Alpine Skiing,0,0,1,1,CRAWFORD James
Alpine Skiing,0,0,1,1,DELAGO Nadia
Alpine Skiing,0,0,1,1,FAIVRE Mathieu
Alpine Skiing,0,0,1,1,FOSS-SOLEVAAG Sebastian
Alpine Skiing,0,0,1,1,HAUGAN Timon
Alpine Skiing,0,0,1,1,HOLTMANN Mina Fuerst
Alpine Skiing,0,0,1,1,SOLHEIM Fabian Wilkens
Alpine Skiing,0,0,1,1,STJERNESUND Thea Louise
Alpine Skiing,0,0,1,1,TVIBERG Maria Therese
Alpine Skiing,0,0,1,1,WINDINGSTAD Rasmus
Biathlon,4,0,1,5,BOE Johannes Thingnes
Biathlon,3,0,2,5,ROEISELAND Marte Olsbu
Biathlon,2,3,0,5,FILLON MAILLET Quentin
Biathlon,2,1,1,4,BOE Tarjei
Biathlon,1,2,0,3,OEBERG Elvira
Biathlon,1,1,1,3,ECKHOFF Tiril
Biathlon,1,0,1,2,CHRISTIANSEN Vetle Sjaastad
Biathlon,1,0,1,2,HERRMANN Denise
Biathlon,1,0,0,1,BRAISAZ-BOUCHET Justine
Biathlon,1,0,0,1,BRORSSON Mona
Biathlon,1,0,0,1,LAEGREID Sturla Holm
Biathlon,1,0,0,1,OEBERG Hanna
Biathlon,1,0,0,1,PERSSON Linn
Biathlon,0,2,0,2,CHEVALIER-BOUCHET Anais
Biathlon,0,2,0,2,JACQUELIN Emilien
Biathlon,0,1,1,2,NIGMATULLINA Uliana
Biathlon,0,1,1,2,REZTSOVA Kristina
Biathlon,0,1,0,1,CLAUDE Fabien
Biathlon,0,1,0,1,DESTHIEUX Simon
Biathlon,0,1,0,1,KAZAKEVICH Irina
Biathlon,0,1,0,1,MIRONOVA Svetlana
Biathlon,0,1,0,1,PONSILUOMA Martin
Biathlon,0,1,0,1,SIMON Julia
Biathlon,0,1,0,1,SMOLSKI Anton
Biathlon,0,0,3,3,LATYPOV Eduard
Biathlon,0,0,2,2,LOGINOV Alexander
Biathlon,0,0,1,1,HINZ Vanessa
Biathlon,0,0,1,1,KHALILI Said Karimulla
Biathlon,0,0,1,1,PREUSS Franziska
Biathlon,0,0,1,1,TSVETKOV Maxim
